2026-02-02 14:44:17 | ERROR    | water_balance.errors | error:427 | Failed to list flow sheets: [Errno 13] Permission denied: 'C:\\Users\\Caliphs Zvinowanda\\OneDrive\\Desktop\\Water_Balance_TimeSeries_Template.xlsx'
2026-02-02 14:44:36 | ERROR    | water_balance.errors | error:427 | Failed to list flow sheets: [Errno 13] Permission denied: 'C:\\Users\\Caliphs Zvinowanda\\OneDrive\\Desktop\\Water_Balance_TimeSeries_Template.xlsx'
2026-02-03 11:53:29 | ERROR    | water_balance.errors | error:427 | Column 'BH_to_Sump' not found in sheet 'Flows_Test'
2026-02-03 11:53:29 | ERROR    | water_balance.errors | error:427 | Column 'Sump_to_Plant' not found in sheet 'Flows_Test'
2026-02-03 11:53:29 | ERROR    | water_balance.errors | error:427 | Column 'NonExistent' not found in sheet 'Flows_Test'
2026-02-03 11:53:29 | ERROR    | water_balance.errors | error:427 | Column 'NonExistent' not found in sheet 'Flows_Test'
2026-02-03 11:53:29 | ERROR    | water_balance.errors | error:427 | Column 'BH_to_Sump' not found in sheet 'Flows_Test'
2026-02-03 11:55:24 | ERROR    | water_balance.errors | error:427 | Column 'NonExistent' not found in sheet 'Flows_Test'
2026-02-03 11:55:24 | ERROR    | water_balance.errors | error:427 | Column 'NonExistent' not found in sheet 'Flows_Test'
2026-02-03 11:55:24 | ERROR    | water_balance.errors | error:427 | Column 'Sump_to_Plant' already exists in sheet 'Flows_Test'
2026-02-03 11:56:27 | ERROR    | water_balance.errors | error:427 | Column 'NonExistent' not found in sheet 'Flows_Test'
2026-02-03 11:56:27 | ERROR    | water_balance.errors | error:427 | Column 'NonExistent' not found in sheet 'Flows_Test'
2026-02-03 11:56:27 | ERROR    | water_balance.errors | error:427 | Column 'Sump_to_Plant' already exists in sheet 'Flows_Test'
2026-02-03 11:59:04 | ERROR    | water_balance.errors | error:427 | Column 'NonExistent' not found in sheet 'Flows_Test'
2026-02-03 11:59:04 | ERROR    | water_balance.errors | error:427 | Column 'NonExistent' not found in sheet 'Flows_Test'
2026-02-03 11:59:04 | ERROR    | water_balance.errors | error:427 | Column 'Sump_to_Plant' already exists in sheet 'Flows_Test'
2026-02-03 11:59:05 | ERROR    | water_balance.errors | error:427 | Column 'Sample_Flow_1' not found in sheet 'Flows_Test'
2026-02-03 11:59:05 | ERROR    | water_balance.errors | error:427 | Column 'Sample_Flow_1' not found in sheet 'Flows_Test'
2026-02-03 11:59:55 | ERROR    | water_balance.errors | error:427 | Column 'NonExistent' not found in sheet 'Flows_Test'
2026-02-03 11:59:55 | ERROR    | water_balance.errors | error:427 | Column 'NonExistent' not found in sheet 'Flows_Test'
2026-02-03 11:59:55 | ERROR    | water_balance.errors | error:427 | Column 'Sump_to_Plant' already exists in sheet 'Flows_Test'
2026-02-03 12:03:53 | ERROR    | water_balance.errors | error:427 | Column 'NonExistent' not found in sheet 'Flows_Test'
2026-02-03 12:03:53 | ERROR    | water_balance.errors | error:427 | Column 'NonExistent' not found in sheet 'Flows_Test'
2026-02-03 12:03:53 | ERROR    | water_balance.errors | error:427 | Column 'Sump_to_Plant' already exists in sheet 'Flows_Test'
2026-02-05 00:21:40 | ERROR    | water_balance.errors | error:427 | Failed to setup system tray: 'PySide6.QtWidgets.QSystemTrayIcon' object has no attribute 'style'
2026-02-05 01:16:39 | ERROR    | water_balance.errors | error:427 | Failed to load notifications: 'NotificationService' object has no attribute 'get_cached_notifications'
2026-02-05 01:38:30 | ERROR    | water_balance.errors | error:427 | Failed to load notifications: 'NotificationService' object has no attribute 'get_cached_notifications'
2026-02-05 03:20:20 | ERROR    | water_balance.errors | error:427 | Failed to handle notification click: Internal C++ object (PySide6.QtWidgets.QLabel) already deleted.
